t,plant,axis,mstruct,C_exudated,sum_respi_shoot,sum_respi_roots,Total_Transpiration,C_N_ratio,C_N_ratio_shoot,N_content,N_content_shoot,N_content_roots,N_content_mstruct,N_content_mstruct_shoot,N_content_total_DM_shoot,N_content_mstruct_roots,sum_N_g,sum_N_g_shoot,sum_dry_mass,sum_dry_mass_shoot,sum_dry_mass_roots,dry_mass_phloem,shoot_roots_ratio,shoot_roots_mstruct_ratio,Total_Photosynthesis,Tillers_Photosynthesis,Tillers_Photosynthesis_An,NNI,NS,NS_shoot,NS_roots,mstruct_shoot,C_respired_shoot,C_respired_roots
0.0000000000000,1,MS,NA,NA,NA,NA,NA,34.6329070899627,NA,1.2210300304985,NA,NA,1.4788021250099,NA,NA,NA,0.0005095406445,0.0000000000000,0.0417303941552,0.0000000000000,0.0417303941552,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,NA,17.4311417431653,NA,17.4311417431653,0.0000000000000,0.0352486900000,0.5208673700000
1.0000000000000,1,MS,0.0545037700000,0.0000000000000,0.7149883300000,0.2437354900000,0.0006916400000,16.4603529052725,9.9234431366416,2.5614816523364,4.2365737882539,1.2768046856962,3.5794154712897,7.0072762979012,4.2365737882539,1.5944959473300,0.0019509172707,0.0014005495691,0.0761636246307,0.0330585430378,0.0431050815929,0.0031690423315,0.7669291372659,0.5790548754343,25.3288295800000,25.3288295800000,25.1109213796008,0.9628576791486,28.4385488948707,39.5403633574026,19.9242439070350,0.0199870750000,0.7650463300000,0.8024941900000
2.0000000000000,1,MS,0.0545601000000,0.0000000000000,0.6927255100000,0.2199467200000,0.0007242700000,16.5723177407494,10.0427527048183,2.5442129030675,4.1859654338160,1.2759598036371,3.5816160015880,7.0089940486472,4.1859654338160,1.5994625399742,0.0019541327348,0.0014012265254,0.0768069658197,0.0334743931244,0.0433325726954,0.0041567307907,0.7724995550043,0.5783293918552,24.1045992700000,24.1045992700000,23.9024766104449,0.9513557804127,28.9646656163160,40.2772294460150,20.2257150919154,0.0199918350000,0.7356473850000,0.6966294100000
3.0000000000000,1,MS,0.0546242600000,0.0000000000000,0.7013719100000,0.2286889800000,0.0007249200000,16.6825682047968,10.1553315414786,2.5274364581526,4.1391404619209,1.2719469827988,3.5835026888696,7.0194768363674,4.1391404619209,1.5991817526930,0.0019574616467,0.0014037160196,0.0774485008470,0.0339132250416,0.0435352758054,0.0048925245054,0.7789826620884,0.5775133487607,24.1329268600000,24.1329268600000,23.9305753401289,0.9407137413457,29.4702229189649,41.0334906944014,20.4626378048148,0.0199974450000,0.7514493150000,0.7703925200000
4.0000000000000,1,MS,0.0546851800000,0.0000000000000,0.3906053100000,0.2188255000000,0.0001571900000,16.7113233653149,10.1995194071872,2.5228564966218,4.1212160182895,1.2768875170740,3.5852381757875,7.0138461647318,4.1212160182895,1.6078077553309,0.0019605941291,0.0014029687769,0.0777132639825,0.0340425925417,0.0436706714408,0.0053524089059,0.7795298633737,0.5767443892194,10.2457003600000,10.2457003600000,10.1018272059688,0.9366400041567,29.6321088607278,41.2417107319449,20.5820775002344,0.0200028450000,0.4388968600000,0.7324977100000
5.0000000000000,1,MS,0.0547434100000,0.0000000000000,0.3933942600000,0.2110226100000,0.0001573000000,16.7416879086769,10.2456997427497,2.5180650542667,4.1025480002593,1.2801196410317,3.5868359446122,7.0129985790430,4.1025480002593,1.6133176750606,0.0019635566659,0.0014031649635,0.0779787902041,0.0342022802270,0.0437765099772,0.0056876126376,0.7812929866907,0.5760141826657,10.2562333000000,10.2562333000000,10.1122619564200,0.9323972727862,29.7970385835709,41.5008009196096,20.6529711525295,0.0200080600000,0.4400533450000,0.7014584400000
6.0000000000000,1,MS,0.0547998600000,0.0000000000000,0.3955979300000,0.2055293700000,0.0001456400000,16.7729461575498,10.2898119066834,2.5131651504787,4.0848368822290,1.2822441336972,3.5883493497655,7.0142752775550,4.0848368822290,1.6173806064480,0.0019664098817,0.0014037763806,0.0782443557820,0.0343655431304,0.0438788126516,0.0059603969511,0.7831921844205,0.5753097950338,10.2452409100000,10.2452409100000,10.1009364716905,0.9283720186884,29.9631974059906,41.7639496513622,20.7209404771327,0.0200131350000,0.4412175700000,0.6805144500000
7.0000000000000,1,MS,0.0548552300000,0.0000000000000,0.4002119400000,0.2017898100000,0.0001457400000,16.8050889138045,10.3305394502348,2.5081628132766,4.0685851327324,1.2833453413682,3.5897462712720,7.0170343010332,4.0685851327324,1.6203462839584,0.0019691637530,0.0014046829079,0.0785102044647,0.0345250956307,0.0439851088339,0.0061971436049,0.7849269115399,0.5746234253474,10.2553958800000,10.2553958800000,10.1108698052548,0.9246784392574,30.1298023944220,42.0184516964182,20.7980816154249,0.0200181850000,0.4452839150000,0.6674222500000
8.0000000000000,1,MS,0.0549100700000,0.0000000000000,0.3315557800000,0.1992200300000,0.0000279900000,16.7756339232988,10.3103658285280,2.5123433102296,4.0765003387974,1.2878277099536,3.5910847989471,7.0164917664364,4.0765003387974,1.6250881577402,0.0019718662791,0.0014049237236,0.0784871347423,0.0344639668059,0.0440231679365,0.0062900100706,0.7828597627421,0.5739454201694,0.0000000000000,0.0000000000000,0.0000000000000,0.9264773497267,30.0394323474010,41.9011598032872,20.7533632055745,0.0200231650000,0.3764558550000,0.6600871000000
9.0000000000000,1,MS,0.0549644700000,0.0081034000000,0.3313730600000,0.1969900700000,0.0000279900000,16.7467546175218,10.2968055919544,2.5164575971950,4.0817955442047,1.2924908122579,3.5923407255309,7.0170339282318,4.0817955442047,1.6290434478985,0.0019745099627,0.0014053827824,0.0784638678149,0.0344305041049,0.0440333637100,0.0063229027459,0.7819185545685,0.5732768342823,0.0000000000000,0.0000000000000,0.0000000000000,0.9276808055011,29.9493620048225,41.8301865723879,20.6595248318696,0.0200281600000,0.3761418500000,0.6539423800000
