t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,Respi_growth,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Proteins_N_Mass,R_maintenance,N_tot,sucrose_consumption_mstruct,AA_consumption_mstruct
0.0000000000000,1,MS,phloem,NA,NA,NA,0.0000000000000,NA,NA,NA,NA,NA,0.0000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000000000000,NA,NA
0.0000000000000,1,MS,roots,0.0344563100000,0.0001724800000,NA,2.1704230200000,8.6000000000000,21.9053373000000,NA,NA,NA,200.0472212200000,NA,NA,NA,NA,NA,NA,0.5208673700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.392465589031445,635.7424024801263,483.81854494382407,249.5914391297269,NA,NA,0.2998477625235191,0.0005095406445,2.0167019100000,0.0201107100000
1.0000000000000,1,MS,phloem,NA,NA,NA,4.9862147100000,NA,NA,NA,NA,NA,92.8183689500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.18707986621843,NA,141.91429472065266,NA,NA,NA,NA,0.0000698070059,NA,NA
1.0000000000000,1,MS,roots,0.0345167200000,0.0001727800000,NA,1.9574542800000,8.5982459200000,21.8553748500000,NA,NA,NA,176.6840485600000,0.0000000000000,1.0012055500000,0.0000000000000,NA,0.0758974600000,0.1007333700000,0.5587587000000,NA,NA,0.0622364200000,0.0172910400000,0.2388672500000,0.2193247500000,0.2720894900000,0.0356992600000,1.1105357700000,0.9817125900000,NA,NA,NA,0.0000000000000,-457.3414439000000,0.2537364600000,14.2989244000000,45.368257007038906,633.1822621036993,426.56633403560164,249.1037943350353,NA,NA,0.2018323423609622,0.0005061596078,2.1634101200000,0.0215736900000
2.0000000000000,1,MS,phloem,NA,NA,NA,5.6969478000000,NA,NA,NA,NA,NA,124.8077671400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.53280584163153,NA,190.62734968716455,NA,NA,NA,NA,0.0000797572692,NA,NA
2.0000000000000,1,MS,roots,0.0345682500000,0.0001730400000,NA,1.7582160400000,8.5923692500000,21.7656050000000,NA,NA,NA,161.8224768000000,0.0000000000000,0.9403284900000,0.0000000000000,NA,0.0702995100000,0.0897622300000,0.4766826900000,NA,NA,0.0566030700000,0.0181068400000,0.2166648100000,0.2062955300000,0.2837565000000,0.0373580200000,1.0270928300000,0.9094723900000,NA,NA,NA,0.0000000000000,-287.2949112400000,0.2261013400000,14.1180909000000,40.689732109667105,629.6415062955168,390.10382070252325,248.56245977161126,NA,NA,0.19058169642009848,0.0005023734946,1.8456270200000,0.0184047400000
3.0000000000000,1,MS,phloem,NA,NA,NA,6.1682432900000,NA,NA,NA,NA,NA,148.8499190800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.33705229141778,NA,227.08151878548713,NA,NA,NA,NA,0.0000863554061,NA,NA
3.0000000000000,1,MS,roots,0.0346268100000,0.0001733300000,NA,1.5811145800000,8.5886233700000,21.6813249200000,NA,NA,NA,151.3172482000000,0.0000000000000,1.0167501300000,0.0000000000000,NA,0.0750485000000,0.0930836900000,0.5417035400000,NA,NA,0.0580198100000,0.0181231000000,0.2261520000000,0.1856824100000,0.2829115800000,0.0373752700000,1.0946224100000,0.9700129800000,NA,NA,NA,0.0000000000000,-178.7900339900000,0.2344677200000,13.9619046300000,36.52925764747027,626.1427177380764,364.1620664257935,248.03391851573969,NA,NA,0.201901479708103,0.0004990041530,2.0973757000000,0.0209151900000
4.0000000000000,1,MS,phloem,NA,NA,NA,6.4088311100000,NA,NA,NA,NA,NA,164.0726284200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.75602106457363,NA,250.0260406018596,NA,NA,NA,NA,0.0000897236355,NA,NA
4.0000000000000,1,MS,roots,0.0346823400000,0.0001736100000,NA,1.5585731800000,8.6133208800000,21.8064974600000,NA,NA,NA,143.6664050100000,0.0000000000000,0.9898644700000,0.0000000000000,NA,0.0731956700000,0.0876571800000,0.5136722100000,NA,NA,0.0554867900000,0.0039296400000,0.2163396500000,0.0396875800000,0.0616979700000,0.0081274000000,1.0658885100000,0.9453325400000,NA,NA,NA,0.0000000000000,-117.4795047400000,0.2207989300000,13.9591961300000,35.95081946604525,628.749313339296,345.1958667581253,248.34889687374036,NA,NA,0.1985308543103578,0.0005007209890,1.9888435800000,0.0198329000000
